이상해씨, 1, Grass, Poison, Seed Pokemon, 71, 6900, Medium Slow, 45, 49, 49, 65, 65, 45, 318, Grass, Monster, 8750, 1250, 태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.
고오스, 92, Ghost, Poison, Gas Pokemon, 130, 100, Medium Slow, 30, 35, 30, 100, 35, 80, 310, Amorphous, Amorphous, 5000, 5000, 모습이 거의 안보인다. 모르는 사이에 가스에 중독되어 기절한다.
고우스트, 93, Ghost, Poison, Gas Pokemon, 160, 100, Medium Slow, 45, 50, 45, 115, 55, 95, 405, Amorphous, Amorphous, 5000, 5000, 벽돌로 된 벽도 통과하는 까닭에 이차원 공간의 생물이 아니냐는 소문이 돌고 있다.
팬텀, 94, Ghost, Poison, Shadow Pokemon, 150, 40500, Medium Slow, 60, 65, 60, 130, 75, 110, 550, Amorphous, Amorphous, 5000, 5000, 보름달 밤에 그림자가 제멋대로 움직이며 웃는다면 팬텀의 짓이 틀림없다.
롱스톤, 95, Rock, Ground, Rock Snake Pokemon, 879, 210000, Medium Fast, 35, 45, 160, 30, 45, 70, 385, Mineral, Mineral, 5000, 5000, 성장하면 몸의 암석성분이 변화해서 검은 다이아몬드처럼 된다.
슬리프, 96, Psychic, Psychic, Hypnosis Pokemon, 99, 32400, Medium Fast, 60, 48, 45, 43, 90, 42, 328, Human-Like, Human-Like, 5000, 5000, 잠들게 한 뒤 꿈을 먹지만 나쁜 꿈만 먹고 있으면 배탈이 날 때도 있는 것 같다.
슬리퍼, 97, Psychic, Psychic, Hypnosis Pokemon, 160, 75600, Medium Fast, 85, 73, 70, 73, 115, 67, 483, Human-Like, Human-Like, 5000, 5000, 상대와 눈이 마주쳤을 때 최면술 등 갖가지 초능력을 쓴다고 한다.
크랩, 98, Water, Water, River Crab Pokemon, 41, 6500, Medium Fast, 30, 105, 90, 25, 25, 50, 325, Water 3, Water 3, 5000, 5000, 집게는 강력한 무기이며 옆으로 걸을 때 몸의 균형을 잡는 역할도 한다.
킹크랩, 99, Water, Water, Pincer Pokemon, 130, 60000, Medium Fast, 55, 130, 115, 50, 50, 75, 475, Water 3, Water 3, 5000, 5000, 집게는 1만 마력의 슈퍼파워를 품었지만 너무 커서 잘 움직이지 않는다.
찌리리공, 100, Electric, Electric, Ball Pokemon, 51, 10400, Medium Fast, 40, 30, 50, 55, 55, 100, 330, Mineral, Mineral, 0, 0, 발전소 등에 나타난다. 몬스터볼로 착각하고 만졌다가 감전되는 사람이 많다.
붐볼, 101, Electric, Electric, Ball Pokemon, 119, 66600, Medium Fast, 60, 50, 70, 80, 80, 140, 480, Mineral, Mineral, 0, 0, 방대한 전기에너지를 모아뒀으며 자그만 충격으로 대폭발을 일으킨다.
아라리, 102, Grass, Psychic, Egg Pokemon, 41, 2500, Slow, 60, 40, 80, 60, 45, 40, 325, Grass, Grass, 5000, 5000, 알인 줄 알고 건드리면 동료가 점점 모여들어 집단공격을 해온다.
나시, 103, Grass, Psychic, Coconut Pokemon, 201, 120000, Slow, 95, 95, 85, 125, 65, 55, 520, Grass, Grass, 5000, 5000, 매우 드물게 머리 중 하나가 지면에 떨어지면 아라리가 되어 움직이기 시작한다고 한다.
탕구리, 104, Ground, Ground, Lonely Pokemon, 41, 6500, Medium Fast, 50, 50, 95, 40, 50, 35, 320, Monster, Monster, 5000, 5000, 머리에 뼈 헬멧을 쓰고 있어서 맨 얼굴을 본 사람은 없다.
텅구리, 105, Ground, Ground, Bone Keeper Pokemon, 99, 45000, Medium Fast, 60, 80, 110, 50, 80, 45, 425, Monster, Monster, 5000, 5000, 뼈는 중요한 무기이다. 부메랑처럼 던져서 사냥감을 맞춰 기절시킨다.
시라소몬, 106, Fighting, Fighting, Kicking Pokemon, 150, 49800, Medium Fast, 50, 120, 53, 35, 110, 87, 455, Human-Like, Human-Like, 10000, 0, 급하게 달릴 때 점점 다리가 길어져 엄청난 보폭으로 나아간다.
홍수몬, 107, Fighting, Fighting, Punching Pokemon, 140, 50200, Medium Fast, 50, 105, 79, 35, 110, 76, 455, Human-Like, Human-Like, 10000, 0, 아무것도 하지 않는 것 같아도 보이지 않는 스피드로 펀치를 날려댄 후 정신을 가다듬는다.
내루미, 108, Normal, Normal, Licking Pokemon, 119, 65500, Medium Fast, 90, 55, 75, 60, 75, 30, 385, Monster, Monster, 5000, 5000, 혀가 카멜레온처럼 쭉쭉 뻗어나갈 정도로 길다. 혀를 핥으면 삐리삐리 저려온다.
